pmid,mesh_code,mesh_name,is_major_topic
23721257,D005260,Female,N
23721257,D008875,Middle Aged,N
23721257,D008297,Male,N
23721257,D055815,Young Adult,N
23721492,D009367,Neoplasm Staging,N
23721492,D000818,Animals,N
23721492,D000971,Antineoplastic Combined Chemotherapy Protocols,N
23721492,D005260,Female,N
26040056,D006801,Humans,N
23721492,D008297,Male,N
23721492,D012189,Retrospective Studies,N
26040056,D008875,Middle Aged,N
26040056,D008297,Male,N
23721515,D000818,Animals,N
23721515,D007150,Immunohistochemistry,N
23722865,D000328,Adult,N
23722865,D005260,Female,N
23722865,D006801,Humans,N
23722865,D008875,Middle Aged,N
23722865,D008297,Male,N
23722867,D012189,Retrospective Studies,N
23722865,D002648,Child,N
23722865,D011446,Prospective Studies,N
23722865,D015203,Reproducibility of Results,N
23722867,D008297,Male,N
23722867,D000368,Aged,N
23722867,D006801,Humans,N
23722867,D005260,Female,N
23723441,D006801,Humans,N
24520874,D000971,Antineoplastic Combined Chemotherapy Protocols,N
23728769,D000328,Adult,N
23728769,D007223,Infant,N
23728769,D005260,Female,N
23728769,D011247,Pregnancy,N
23728769,D007231,"Infant, Newborn",N
23728769,D006801,Humans,N
23728804,D006801,Humans,N
23728804,D000293,Adolescent,N
23728804,D000328,Adult,N
23728804,D005500,Follow-Up Studies,N
23728804,D005260,Female,N
23728804,D055815,Young Adult,N
23728804,D008297,Male,N
23731451,D000818,Animals,N
23731451,D005260,Female,N
23731451,D008297,Male,N
23731451,D051381,Rats,N
23731597,D006801,Humans,N
23731597,D000818,Animals,N
23732186,D015203,Reproducibility of Results,N
23732179,D015331,Cohort Studies,N
23732179,D000328,Adult,N
23732179,D006801,Humans,N
23732179,D011183,Postoperative Complications,N
23732179,D012189,Retrospective Studies,N
23732179,D016896,Treatment Outcome,N
23732186,D008875,Middle Aged,N
23732186,D008297,Male,N
23732186,D006801,Humans,N
23732186,D000328,Adult,N
23732186,D005260,Female,N
23732186,D000368,Aged,N
23732186,D016896,Treatment Outcome,N
23732186,D014057,"Tomography, X-Ray Computed",N
23733050,D001921,Brain,N
23733050,D016896,Treatment Outcome,N
23733050,D006801,Humans,N
24322827,D001921,Brain,N
23735140,D000328,Adult,N
23735140,D005260,Female,N
23735140,D006801,Humans,N
23735140,D008875,Middle Aged,N
23735140,D008297,Male,N
23736252,D006801,Humans,N
23736252,D005260,Female,N
23736252,D016022,Case-Control Studies,N
23736252,D003430,Cross-Sectional Studies,N
23736252,D008875,Middle Aged,N
23736252,D008297,Male,N
23736254,D005260,Female,N
23736254,D005500,Follow-Up Studies,N
23736254,D000293,Adolescent,N
23736254,D000328,Adult,N
23736254,D012189,Retrospective Studies,N
23736254,D008279,Magnetic Resonance Imaging,Y
23736254,D006801,Humans,N
23736254,D055815,Young Adult,N
23736254,D008297,Male,N
24323497,D008297,Male,N
24323497,D008279,Magnetic Resonance Imaging,Y
24323497,D006801,Humans,N
24323497,D005260,Female,N
23738682,D000368,Aged,N
23738682,D013997,Time Factors,N
23738682,D015994,Incidence,N
23738682,D005260,Female,N
23738682,D006801,Humans,N
23738682,D012189,Retrospective Studies,N
23738682,D008297,Male,N
23738682,D008875,Middle Aged,N
23740324,D012189,Retrospective Studies,N
23740324,D005260,Female,N
23740324,D000293,Adolescent,N
23740324,D008297,Male,N
23740324,D055815,Young Adult,N
23740324,D006801,Humans,N
23740324,D002648,Child,N
23740324,D016896,Treatment Outcome,N
23742140,D006801,Humans,N
23742948,D000368,Aged,N
23742948,D000369,"Aged, 80 and over",N
23742948,D000367,Age Factors,N
23742948,D008297,Male,N
23742948,D006801,Humans,N
23742948,D012737,Sex Factors,N
23742948,D008875,Middle Aged,N
23748626,D000368,Aged,N
23748626,D005500,Follow-Up Studies,N
23748626,D000369,"Aged, 80 and over",N
23748626,D001794,Blood Pressure,N
23748626,D005260,Female,N
23748626,D006801,Humans,N
23748626,D008297,Male,N
23748626,D008875,Middle Aged,N
23748800,D006801,Humans,N
23749183,D006801,Humans,N
23749183,D000368,Aged,N
23749183,D016022,Case-Control Studies,N
23749183,D005260,Female,N
23749183,D008297,Male,N
23749183,D008875,Middle Aged,N
23749446,D006801,Humans,N
23749446,D013997,Time Factors,N
23749446,D011446,Prospective Studies,N
26040232,D000328,Adult,N
26040232,D006801,Humans,N
26040232,D005260,Female,N
23751598,D005260,Female,N
23751598,D008875,Middle Aged,N
23752670,D011237,Predictive Value of Tests,N
23752670,D008875,Middle Aged,N
23752670,D000369,"Aged, 80 and over",N
23752670,D000368,Aged,N
23752670,D006801,Humans,N
23752670,D005260,Female,N
23752670,D013997,Time Factors,N
23752670,D012307,Risk Factors,N
23752670,D008297,Male,N
23752670,D012189,Retrospective Studies,N
23752670,D012720,Severity of Illness Index,N
23752670,D018570,Risk Assessment,N
23752670,D014057,"Tomography, X-Ray Computed",N
23752670,D016896,Treatment Outcome,N
23753059,D006801,Humans,N
23753247,D006801,Humans,N
23753247,D016896,Treatment Outcome,N
23753247,D008875,Middle Aged,N
23753247,D005260,Female,N
23753249,D006801,Humans,N
23753249,D011379,Prognosis,N
23753249,D011183,Postoperative Complications,N
26040268,D005260,Female,N
26040268,D011247,Pregnancy,N
26040268,D006801,Humans,N
23753250,D000367,Age Factors,N
23753250,D006801,Humans,N
23753250,D014057,"Tomography, X-Ray Computed",N
23753252,D005260,Female,N
23753252,D015415,Biomarkers,N
23753252,D006801,Humans,N
23753252,D008297,Male,N
23753252,D000328,Adult,N
23753252,D012189,Retrospective Studies,N
23753252,D011237,Predictive Value of Tests,N
23754340,D008297,Male,N
23754340,D000328,Adult,N
23754340,D006801,Humans,N
23754340,D055815,Young Adult,N
23754340,D008875,Middle Aged,N
23754340,D013997,Time Factors,N
23754837,D005500,Follow-Up Studies,N
23754837,D000368,Aged,N
23754837,D006801,Humans,N
23754837,D015994,Incidence,N
23754837,D008297,Male,N
23754837,D008875,Middle Aged,N
23754837,D011237,Predictive Value of Tests,N
23754837,D015996,Survival Rate,N
23758087,D006801,Humans,N
23759597,D008297,Male,N
23759597,D000818,Animals,N
23759597,D051381,Rats,N
23759597,D006801,Humans,N
23759973,D000328,Adult,N
23759973,D000368,Aged,N
23759973,D005500,Follow-Up Studies,N
23759973,D005260,Female,N
23759973,D006801,Humans,N
23759973,D008297,Male,N
23759973,D008875,Middle Aged,N
23759973,D016896,Treatment Outcome,N
23759975,D006801,Humans,N
23759975,D002675,"Child, Preschool",N
23759975,D005500,Follow-Up Studies,N
23759975,D008297,Male,N
23759975,D007223,Infant,N
23759975,D012720,Severity of Illness Index,N
23759975,D016896,Treatment Outcome,N
23760575,D006801,Humans,N
23760881,D002460,Cell Line,N
23760881,D006801,Humans,N
23760881,D049109,Cell Proliferation,N
23761589,D008297,Male,N
23761589,D005260,Female,N
23761589,D000368,Aged,N
23761589,D008875,Middle Aged,N
23761589,D012307,Risk Factors,N
23761589,D012189,Retrospective Studies,N
23761591,D002675,"Child, Preschool",N
23761591,D002648,Child,N
23761591,D000293,Adolescent,N
23761591,D000328,Adult,N
23761591,D007223,Infant,N
23761591,D008297,Male,N
23761591,D012307,Risk Factors,N
23761591,D055815,Young Adult,N
23764714,D002417,Cattle,N
23764714,D000818,Animals,N
23764714,D005260,Female,N
23764714,D012333,"RNA, Messenger",N
23764715,D006801,Humans,N
23765435,D006801,Humans,N
23765435,D045744,"Cell Line, Tumor",N
23765435,D005786,Gene Expression Regulation,N
23765435,D010766,Phosphorylation,N
23765504,D000368,Aged,N
23765504,D000369,"Aged, 80 and over",N
23765504,D008875,Middle Aged,N
23765504,D005260,Female,N
23765504,D016896,Treatment Outcome,N
23765504,D008297,Male,N
23765504,D005500,Follow-Up Studies,N
23765504,D013997,Time Factors,N
23765504,D006801,Humans,N
23766438,D000328,Adult,N
23766438,D001835,Body Weight,N
23766438,D055815,Young Adult,N
23766438,D006801,Humans,N
23766438,D008297,Male,N
23768947,D000328,Adult,N
23768947,D000368,Aged,N
23768947,D005260,Female,N
23768947,D008875,Middle Aged,N
23768947,D006801,Humans,N
23768947,D008297,Male,N
23768947,D011795,Surveys and Questionnaires,N
23769629,D006801,Humans,N
23769629,D008297,Male,N
23769629,D000293,Adolescent,N
23771556,D006801,Humans,N
23771556,D000368,Aged,N
23771556,D000328,Adult,N
23771556,D001943,Breast Neoplasms,N
23771556,D000971,Antineoplastic Combined Chemotherapy Protocols,N
23771556,D005260,Female,N
23771556,D005500,Follow-Up Studies,N
23771556,D011379,Prognosis,N
23771556,D008875,Middle Aged,N
23771556,D009367,Neoplasm Staging,N
23771556,D015996,Survival Rate,N
23771556,D012189,Retrospective Studies,N
23771872,D008297,Male,N
23771872,D051381,Rats,N
23771872,D000818,Animals,N
23773311,D008875,Middle Aged,N
23773311,D000368,Aged,N
23773311,D000328,Adult,N
23773311,D005260,Female,N
23773311,D006801,Humans,N
23774073,D005260,Female,N
23774072,D000369,"Aged, 80 and over",N
23774073,D006801,Humans,N
23774072,D000368,Aged,N
23774072,D008875,Middle Aged,N
23774072,D000328,Adult,N
23774072,D006801,Humans,N
23774072,D005260,Female,N
23774072,D009367,Neoplasm Staging,N
23774073,D000369,"Aged, 80 and over",N
23774072,D015996,Survival Rate,N
23774072,D012189,Retrospective Studies,N
23774073,D000368,Aged,N
23774073,D000293,Adolescent,N
23774073,D000328,Adult,N
23774073,D009367,Neoplasm Staging,N
23774073,D008297,Male,N
23774073,D008875,Middle Aged,N
23774073,D012189,Retrospective Studies,N
23774073,D015996,Survival Rate,N
23774073,D055815,Young Adult,N
23776134,D002460,Cell Line,N
23776134,D006801,Humans,N
23776134,D017209,Apoptosis,N
23780710,D006801,Humans,N
26040528,D005260,Female,N
23780710,D013997,Time Factors,N
26040528,D008297,Male,N
26040528,D006801,Humans,N
26040528,D012720,Severity of Illness Index,Y
23787897,D003001,"Cloning, Molecular",N
23788152,D017207,"Rats, Sprague-Dawley",N
23788152,D005260,Female,N
23788152,D000818,Animals,N
23788152,D051381,Rats,N
23788152,D011183,Postoperative Complications,N
23788152,D016896,Treatment Outcome,N
23789877,D003430,Cross-Sectional Studies,N
23789877,D000368,Aged,N
23789877,D008875,Middle Aged,N
23789877,D005260,Female,N
23789877,D008297,Male,N
23789877,D011795,Surveys and Questionnaires,N
23789877,D006801,Humans,N
23789901,D008875,Middle Aged,N
23789901,D000328,Adult,N
23789901,D000368,Aged,N
23789901,D006801,Humans,N
23789901,D005260,Female,N
23789901,D055815,Young Adult,N
23789901,D011795,Surveys and Questionnaires,N
23789901,D008297,Male,N
23789901,D000293,Adolescent,N
23793337,D006801,Humans,N
26040751,D007700,Kinetics,N
23795680,D045744,"Cell Line, Tumor",N
23795680,D000818,Animals,N
23795680,D006801,Humans,N
23796047,D000328,Adult,N
23796047,D006801,Humans,N
23796047,D005260,Female,N
23796047,D000293,Adolescent,N
23796047,D008297,Male,N
23796047,D008875,Middle Aged,N
23796047,D055815,Young Adult,N
23796163,D016896,Treatment Outcome,N
23796163,D005500,Follow-Up Studies,N
23796163,D005260,Female,N
23796163,D000368,Aged,N
23796163,D012189,Retrospective Studies,N
23796163,D008875,Middle Aged,N
23796163,D006801,Humans,N
23796163,D008297,Male,N
23796327,D006801,Humans,N
23797024,D005500,Follow-Up Studies,N
23797023,D000328,Adult,N
23797023,D005260,Female,N
23797024,D005260,Female,N
23797023,D006801,Humans,N
23797023,D008297,Male,N
23797024,D002648,Child,N
23797023,D008875,Middle Aged,N
23797023,D011795,Surveys and Questionnaires,Y
23797024,D006801,Humans,N
23797024,D016896,Treatment Outcome,N
23797024,D008297,Male,N
23798507,D002417,Cattle,N
23798507,D000818,Animals,N
26040831,D000328,Adult,N
26040831,D003937,"Diagnosis, Differential",N
26040831,D005500,Follow-Up Studies,N
26040831,D005260,Female,N
26040831,D006801,Humans,N
23799288,D000970,Antineoplastic Agents,N
23799288,D000368,Aged,N
23799288,D000328,Adult,N
23799288,D001943,Breast Neoplasms,N
23799288,D006801,Humans,N
23799288,D015331,Cohort Studies,N
23799288,D009367,Neoplasm Staging,N
23799288,D008875,Middle Aged,N
23799288,D005260,Female,N
23799288,D012189,Retrospective Studies,N
23799288,D012307,Risk Factors,N
23802596,D006801,Humans,N
23802596,D000328,Adult,N
23802596,D008875,Middle Aged,N
23802757,D011183,Postoperative Complications,Y
23802757,D000368,Aged,N
23802757,D005260,Female,N
23802757,D006801,Humans,N
23804028,D006801,Humans,N
23804028,D016896,Treatment Outcome,N
23804419,D002460,Cell Line,N
23804419,D006801,Humans,N
23806864,D008297,Male,N
23806864,D000328,Adult,N
23806864,D006801,Humans,N
23807347,D012189,Retrospective Studies,N
23807347,D005260,Female,N
23807347,D000368,Aged,N
23807347,D000369,"Aged, 80 and over",N
23807347,D006801,Humans,N
23807347,D000328,Adult,N
23807347,D008297,Male,N
23807347,D008875,Middle Aged,N
23807347,D016896,Treatment Outcome,N
23807355,D055815,Young Adult,N
23807355,D000328,Adult,N
23807355,D000368,Aged,N
23807355,D006801,Humans,N
23807355,D005260,Female,N
23807355,D012189,Retrospective Studies,N
23807355,D008875,Middle Aged,N
23807355,D008297,Male,N
23807357,D005260,Female,N
23807357,D012189,Retrospective Studies,N
23807357,D000368,Aged,N
23807357,D006801,Humans,N
23807357,D008875,Middle Aged,N
23807357,D016896,Treatment Outcome,N
23808951,D000465,Algorithms,N
23808951,D013997,Time Factors,N
23812665,D008297,Male,N
23812665,D006801,Humans,N
23812665,D000293,Adolescent,N
23812665,D002648,Child,N
23812665,D005260,Female,N
23813482,D000328,Adult,N
23813482,D000818,Animals,N
23813482,D006801,Humans,N
23813482,D008297,Male,N
23813482,D051381,Rats,N
23813482,D017207,"Rats, Sprague-Dawley",N
23815329,D000818,Animals,N
23822893,D000328,Adult,N
23822893,D005260,Female,N
23822893,D008297,Male,N
23822893,D013997,Time Factors,N
23824622,D005500,Follow-Up Studies,N
23824622,D000293,Adolescent,N
23824622,D005260,Female,N
23824622,D006801,Humans,N
23824622,D011183,Postoperative Complications,N
23824622,D008297,Male,N
23826861,D006801,Humans,N
23826861,D011183,Postoperative Complications,N
23827044,D006801,Humans,N
23827044,D000293,Adolescent,N
23827937,D016022,Case-Control Studies,N
23827937,D002648,Child,N
23827937,D006801,Humans,N
23827937,D012189,Retrospective Studies,N
23827973,D001943,Breast Neoplasms,N
23827973,D000971,Antineoplastic Combined Chemotherapy Protocols,N
23827973,D000368,Aged,N
23827973,D000328,Adult,N
23827973,D005260,Female,N
23827973,D006801,Humans,N
23827973,D016896,Treatment Outcome,N
23828493,D000328,Adult,N
23828493,D005260,Female,N
23828493,D006801,Humans,N
23828493,D008875,Middle Aged,N
23828493,D008297,Male,N
23831180,D006801,Humans,N
23832175,D006801,Humans,N
23832755,D000293,Adolescent,N
23832755,D000328,Adult,N
23832755,D008297,Male,N
23832755,D055815,Young Adult,N
23833036,D006801,Humans,N
23834343,D006801,Humans,N
23834343,D000328,Adult,N
23834343,D008297,Male,N
23834343,D012720,Severity of Illness Index,N
23834390,D006801,Humans,N
23834390,D005260,Female,N
23834390,D008875,Middle Aged,N
23834390,D008297,Male,N
23834390,D016896,Treatment Outcome,N
23834415,D051379,Mice,N
23834415,D008297,Male,N
23834415,D000818,Animals,N
23834415,D006801,Humans,N
23834497,D006801,Humans,N
23834555,D005260,Female,N
23834555,D000293,Adolescent,N
23834555,D000328,Adult,N
23834555,D002648,Child,N
23834555,D002675,"Child, Preschool",N
23834555,D008875,Middle Aged,N
23834555,D005838,Genotype,N
23834555,D008297,Male,N
23834555,D006801,Humans,N
23834555,D055815,Young Adult,N
23834555,D000368,Aged,N
23835770,D006801,Humans,N
23836369,D010766,Phosphorylation,N
23836369,D006801,Humans,N
23836369,D002478,"Cells, Cultured",N
23836369,D014157,Transcription Factors,N
23836369,D017209,Apoptosis,N
23837534,D011795,Surveys and Questionnaires,N
23837534,D000369,"Aged, 80 and over",N
23837534,D000328,Adult,N
23837534,D000368,Aged,N
23837534,D005260,Female,N
23837534,D008875,Middle Aged,N
23837534,D006801,Humans,N
23837534,D008297,Male,N
23837534,D055815,Young Adult,N
23670128,D006801,Humans,N
23838730,D005260,Female,N
23838693,D000293,Adolescent,N
23838693,D002675,"Child, Preschool",N
23838693,D002648,Child,N
23838693,D006801,Humans,N
23838693,D005260,Female,N
23838693,D008297,Male,N
23838693,D011795,Surveys and Questionnaires,N
23838730,D016022,Case-Control Studies,N
23838730,D007223,Infant,N
23838730,D008297,Male,N
23838730,D006801,Humans,N
23839023,D006801,Humans,N
23839023,D000328,Adult,N
23839023,D005260,Female,N
23839023,D002675,"Child, Preschool",N
23839023,D002648,Child,N
23839023,D015203,Reproducibility of Results,N
23839023,D008297,Male,N
23839023,D012189,Retrospective Studies,N
23839024,D006801,Humans,N
23839024,D000369,"Aged, 80 and over",N
23839024,D000328,Adult,N
23839024,D000368,Aged,N
23839024,D005260,Female,N
23839024,D008297,Male,N
23839024,D008875,Middle Aged,N
23839024,D055815,Young Adult,N
23842869,D000818,Animals,N
23842869,D005786,Gene Expression Regulation,N
23842869,D006801,Humans,N
23842869,D051379,Mice,N
23842869,D009154,Mutation,N
23844846,D006801,Humans,N
23846540,D005500,Follow-Up Studies,N
23846540,D006801,Humans,N
23846682,D001943,Breast Neoplasms,N
23846682,D000328,Adult,N
23846682,D000368,Aged,N
23846682,D006801,Humans,N
23846682,D005260,Female,N
23846682,D008875,Middle Aged,N
23851375,D008875,Middle Aged,N
23851373,D016896,Treatment Outcome,N
23851373,D006801,Humans,N
23851375,D016015,Logistic Models,N
23851375,D000328,Adult,N
23851375,D000368,Aged,N
23851375,D006801,Humans,N
23851375,D005260,Female,N
23851375,D005500,Follow-Up Studies,N
23851375,D012189,Retrospective Studies,N
23851375,D012307,Risk Factors,N
23852428,D006801,Humans,N
23852428,D005260,Female,N
23852428,D000328,Adult,N
23852428,D014057,"Tomography, X-Ray Computed",N
23855013,D002648,Child,N
23855013,D008875,Middle Aged,N
23855013,D000328,Adult,N
23855013,D000293,Adolescent,N
23855013,D008297,Male,N
23855013,D002675,"Child, Preschool",N
23855013,D007223,Infant,N
23855013,D005260,Female,N
23855013,D006801,Humans,N
23855360,D006801,Humans,N
23855360,D000818,Animals,N
23855360,D000970,Antineoplastic Agents,N
26041310,D005260,Female,N
26041310,D008297,Male,N
26041310,D014057,"Tomography, X-Ray Computed",N
26041310,D006801,Humans,N
23855685,D008297,Male,N
23855685,D000369,"Aged, 80 and over",N
23855685,D006801,Humans,N
23857028,D000818,Animals,N
23857596,D006801,Humans,N
23857596,D005260,Female,N
23857596,D000328,Adult,N
23857596,D003430,Cross-Sectional Studies,N
23857596,D008875,Middle Aged,N
23857596,D008297,Male,N
23857669,D008875,Middle Aged,N
23857669,D008297,Male,N
23857669,D006801,Humans,N
23857669,D003430,Cross-Sectional Studies,N
23857669,D000328,Adult,N
23857669,D005260,Female,N
23857900,D000818,Animals,N
23857900,D002417,Cattle,N
23857922,D005260,Female,N
23857922,D008297,Male,N
23857922,D006801,Humans,N
23857955,D000293,Adolescent,N
23857955,D015995,Prevalence,N
23857955,D006801,Humans,N
23857955,D005260,Female,N
23857955,D008297,Male,N
23857955,D055815,Young Adult,N
23858513,D000368,Aged,N
23858516,D002675,"Child, Preschool",N
23858513,D006801,Humans,N
23858513,D008875,Middle Aged,N
23858513,D015995,Prevalence,N
23858516,D002648,Child,N
23858516,D008297,Male,N
23858516,D006801,Humans,N
23858516,D015331,Cohort Studies,N
23858516,D012307,Risk Factors,N
23858519,D003430,Cross-Sectional Studies,N
23858516,D005260,Female,N
23858519,D006801,Humans,N
23858519,D007223,Infant,N
23858516,D001835,Body Weight,N
